strategy_code,strategy,include,cb_function,test_id,comparison_id,difference_variable,multiplier,multiplier.unit,annual.change,output_variable_name,output_display_name,sum,natural.multiplier.units,display_notes,internal_notes
INEN:INC_EFFICIENCY_PRODUCTION,INEN: Maximize industrial production efficiency,0,cb_difference_between_two_strategies,INEN:INC_EFFICIENCY_PRODUCTION,BASE,,,,,,,,,,
INEN:INC_EFFICIENCY_PRODUCTION_REP,INEN: Maximize industrial production efficiency with renewable energy production,0,cb_difference_between_two_strategies,INEN:INC_EFFICIENCY_PRODUCTION_REP,ENTC:RENEWABLE_ELEC_TARGET,,,,,,,,,,
TRNS:FUEL_SWITCH_LIGHT_DUTY,TRNS: Electrify light duty road transport,1,cb_difference_between_two_strategies,TRNS:FUEL_SWITCH_LIGHT_DUTY,BASE,vehicle_distance_traveled_trns_road_light_electricity,-0.039,$/vkm,0.9,technical_cost_electrification_LDV,EV + Charger Cost,0,$0.039/km,"These costs reflect the marginal capital and maintenance costs of EV versus ICE LDVs, per km. In the United States, light duty EVs are estimated to have approximately $12,000 of higher up front cost (Baik et al., 2019) than traditional LDVs and have $949/year lower maintenance costs (AAA, 2019) than their ICE counterparts. We approximate that charging infrastructure may involve an additional $1000 in capital cost per EV, consistent with data from the United States on the costs (Purnazeri, 2022) and deployment of charging stations (evadoption, 2021). The per-km capital cost shown in the table assumes vehicles are driven 15,000 kilometers per year (Ecola et al., 2008) and have a 12-year lifespan, consistent with data on vehicle lifetimes in the United States (BTS, undated). Costs are then adjusted to 2019 costs for LAC.",
TRNS:FUEL_SWITCH_LIGHT_DUTY,TRNS: Electrify light duty road transport,1,cb_difference_between_two_strategies,TRNS:FUEL_SWITCH_LIGHT_DUTY,BASE,vehicle_distance_traveled_trns_road_light_electricity,0.012,$/vkm,1,savings_maintenance_electrify_LDV,EV Maintenance,0,$0.012/km,"These costs reflect the marginal capital and maintenance costs of EV versus ICE LDVs, per km. In the United States, light duty EVs are estimated to have approximately $12,000 of higher up front cost (Baik et al., 2019) than traditional LDVs and have $949/year lower maintenance costs (AAA, 2019) than their ICE counterparts. We approximate that charging infrastructure may involve an additional $1000 in capital cost per EV, consistent with data from the United States on the costs (Purnazeri, 2022) and deployment of charging stations (evadoption, 2021). The per-km capital cost shown in the table assumes vehicles are driven 15,000 kilometers per year (Ecola et al., 2008) and have a 12-year lifespan, consistent with data on vehicle lifetimes in the United States (BTS, undated). Costs are then adjusted to 2019 costs for LAC.",
TRNS:FUEL_SWITCH_LIGHT_DUTY_REP,TRNS: Electrify light duty road transport with renewable energy production,0,cb_difference_between_two_strategies,TRNS:FUEL_SWITCH_LIGHT_DUTY_REP,ENTC:RENEWABLE_ELEC_TARGET,vehicle_distance_traveled_trns_road_light_electricity,-0.039,$/vkm,0.9,technical_cost_electrification_LDV,EV + Charger Cost,0,$0.039/km,"These costs reflect the marginal capital and maintenance costs of EV versus ICE LDVs, per km. In the United States, light duty EVs are estimated to have approximately $12,000 of higher up front cost (Baik et al., 2019) than traditional LDVs and have $949/year lower maintenance costs (AAA, 2019) than their ICE counterparts. We approximate that charging infrastructure may involve an additional $1000 in capital cost per EV, consistent with data from the United States on the costs (Purnazeri, 2022) and deployment of charging stations (evadoption, 2021). The per-km capital cost shown in the table assumes vehicles are driven 15,000 kilometers per year (Ecola et al., 2008) and have a 12-year lifespan, consistent with data on vehicle lifetimes in the United States (BTS, undated). Costs are then adjusted to 2019 costs for LAC.",
TRNS:FUEL_SWITCH_LIGHT_DUTY_REP,TRNS: Electrify light duty road transport with renewable energy production,0,cb_difference_between_two_strategies,TRNS:FUEL_SWITCH_LIGHT_DUTY_REP,ENTC:RENEWABLE_ELEC_TARGET,vehicle_distance_traveled_trns_road_light_electricity,0.012,$/vkm,1,savings_maintenance_electrify_LDV,EV Maintenance,0,$0.012/km,"These costs reflect the marginal capital and maintenance costs of EV versus ICE LDVs, per km. In the United States, light duty EVs are estimated to have approximately $12,000 of higher up front cost (Baik et al., 2019) than traditional LDVs and have $949/year lower maintenance costs (AAA, 2019) than their ICE counterparts. We approximate that charging infrastructure may involve an additional $1000 in capital cost per EV, consistent with data from the United States on the costs (Purnazeri, 2022) and deployment of charging stations (evadoption, 2021). The per-km capital cost shown in the table assumes vehicles are driven 15,000 kilometers per year (Ecola et al., 2008) and have a 12-year lifespan, consistent with data on vehicle lifetimes in the United States (BTS, undated). Costs are then adjusted to 2019 costs for LAC.",
TRNS:FUEL_SWITCH_RAIL,TRNS: Electrify rail,1,cb_difference_between_two_strategies,TRNS:FUEL_SWITCH_RAIL,BASE,energy_consumption_trns_electricity,-422400000,$/PJ,1,technical_cost_electrification_rail,Electric Rail Capital Cost,0,$0.0025/mt-km and /pkm,"Popovich et al. (2021) estimate the capital and maintenance cost of electrifying freight rail. In the absence of other information, we assume that electrifying passenger rail will have similar costs per person-km, with lower mass of passengers compared to freight offset out by climate control, lower density, and other variables.",
TRNS:FUEL_SWITCH_RAIL,TRNS: Electrify rail,1,cb_difference_between_two_strategies,TRNS:FUEL_SWITCH_RAIL,BASE,energy_consumption_trns_electricity,2377710,$/PJ,1,savings_maintenance_electrify_rail,Electric Rail Maintenance,0,$0.0003/mt-km and $/pkm,"Popovich et al. (2021) estimate the capital and maintenance cost of electrifying freight rail. In the absence of other information, we assume that electrifying passenger rail will have similar costs per person-km, with lower mass of passengers compared to freight offset out by climate control, lower density, and other variables.",
TRNS:FUEL_SWITCH_RAIL_REP,TRNS: Electrify rail with renewable energy production,0,cb_difference_between_two_strategies,TRNS:FUEL_SWITCH_RAIL_REP,ENTC:RENEWABLE_ELEC_TARGET,energy_consumption_trns_electricity,-422400000,$/PJ,1,technical_cost_electrification_rail,Electric Rail Capital Cost,0,$0.0025/mt-km and /pkm,"Popovich et al. (2021) estimate the capital and maintenance cost of electrifying freight rail. In the absence of other information, we assume that electrifying passenger rail will have similar costs per person-km, with lower mass of passengers compared to freight offset out by climate control, lower density, and other variables.",
TRNS:FUEL_SWITCH_RAIL_REP,TRNS: Electrify rail with renewable energy production,0,cb_difference_between_two_strategies,TRNS:FUEL_SWITCH_RAIL_REP,ENTC:RENEWABLE_ELEC_TARGET,energy_consumption_trns_electricity,2377710,$/PJ,1,savings_maintenance_electrify_rail,Electric Rail Maintenance,0,$0.0003/mt-km and $/pkm,"Popovich et al. (2021) estimate the capital and maintenance cost of electrifying freight rail. In the absence of other information, we assume that electrifying passenger rail will have similar costs per person-km, with lower mass of passengers compared to freight offset out by climate control, lower density, and other variables.",
TRNS:FUEL_SWITCH_MARITIME,TRNS: Fuel switch maritime,1,cb_scale_variable_in_strategy,TRNS:FUEL_SWITCH_MARITIME,BASE,mass_distance_traveled_trns_mt_km_water_borne,-0.0005,$/mtkm,1,technical_cost_fuel_switch_maritime,Fuel Switching Maritime Cost,0,$0.0003/MTKM,"Carlo et al. (2020) estimate that decarbonizing the maritime industry (using ammonia as the primary fuel) by 2050 will cost roughly $1 trillion, with 55% of that cost associated with ammonia production and storage and ship-related investments (Krantz et al, 2020). (45% of the cost is associated with hydrogen production, which we account for in energy production.) They also estimate a total demand of approximately 500,000 billion ton-nautical miles of demand. We use this data to approximate a cost per MT-KM of demand and adjust to LAC.",
TRNS:FUEL_SWITCH_MARITIME_REP,TRNS: Fuel switch maritime with renewable energy production,0,cb_difference_between_two_strategies,TRNS:FUEL_SWITCH_MARITIME_REP,ENTC:RENEWABLE_ELEC_TARGET,mass_distance_traveled_trns_mt_km_water_borne,-0.0003,$/mtkm,1,technical_cost_fuel_switch_maritime,Fuel Switching Maritime Cost,0,$0.0003/MTKM,"Carlo et al. (2020) estimate that decarbonizing the maritime industry (using ammonia as the primary fuel) by 2050 will cost roughly $1 trillion, with 55% of that cost associated with ammonia production and storage and ship-related investments (Krantz et al, 2020). (45% of the cost is associated with hydrogen production, which we account for in energy production.) They also estimate a total demand of approximately 500,000 billion ton-nautical miles of demand. We use this data to approximate a cost per MT-KM of demand and adjust to LAC.",
TRNS:FUEL_SWITCH_MEDIUM_DUTY,TRNS: Fuel switch medium duty road transport,1,cb_difference_between_two_strategies,TRNS:FUEL_SWITCH_MEDIUM_DUTY,BASE,vehicle_distance_traveled_trns_*_electricity,-0.042,$/vkm,0.9,technical_cost_electrification_HDV_vehicle,EV Vehicle Cost,0,$0.042/km,"Burke et al. (2022) provide marginal capital and maintenance costs of a variety of medium and heavy duty BEVs versus ICEs (Table 19a, p. 50), and the cost of charging infrastructure (p.22). Using a stated 12-year lifetime, we calculate a simple average of these costs across all vehicle types. Costs are then adjusted to 2019 costs for LAC.",
TRNS:FUEL_SWITCH_MEDIUM_DUTY,TRNS: Fuel switch medium duty road transport,1,cb_difference_between_two_strategies,TRNS:FUEL_SWITCH_MEDIUM_DUTY,BASE,vehicle_distance_traveled_trns_*_electricity,0.02,$/vkm,0.9,savings_maintenance_electrify_HDV,EV Maintenance,0,$0.02/km,"Burke et al. (2022) provide marginal capital and maintenance costs of a variety of medium and heavy duty BEVs versus ICEs (Table 19a, p. 50), and the cost of charging infrastructure (p.22). Using a stated 12-year lifetime, we calculate a simple average of these costs across all vehicle types. Costs are then adjusted to 2019 costs for LAC.",
TRNS:FUEL_SWITCH_MEDIUM_DUTY,TRNS: Fuel switch medium duty road transport,1,cb_difference_between_two_strategies,TRNS:FUEL_SWITCH_MEDIUM_DUTY,BASE,energy_consumption_trns_*_electricity,-3177614,$/PJ,1,technical_cost_electrification_HDV_charger,EV Charger Cost,0,$0.011/kwh,"Burke et al. (2022) provide marginal capital and maintenance costs of a variety of medium and heavy duty BEVs versus ICEs (Table 19a, p. 50), and the cost of charging infrastructure (p.22). Using a stated 12-year lifetime, we calculate a simple average of these costs across all vehicle types. Costs are then adjusted to 2019 costs for LAC.",
TRNS:FUEL_SWITCH_MEDIUM_DUTY_REP,TRNS: Fuel switch medium duty road transport with renewable energy production,0,cb_difference_between_two_strategies,TRNS:FUEL_SWITCH_MEDIUM_DUTY_REP,ENTC:RENEWABLE_ELEC_TARGET,vehicle_distance_traveled_trns_*_electricity,-0.042,$/vkm,0.9,technical_cost_electrification_HDV_vehicle,EV Vehicle Cost,0,$0.042/km,"Burke et al. (2022) provide marginal capital and maintenance costs of a variety of medium and heavy duty BEVs versus ICEs (Table 19a, p. 50), and the cost of charging infrastructure (p.22). Using a stated 12-year lifetime, we calculate a simple average of these costs across all vehicle types. Costs are then adjusted to 2019 costs for LAC.",
TRNS:FUEL_SWITCH_MEDIUM_DUTY_REP,TRNS: Fuel switch medium duty road transport with renewable energy production,0,cb_difference_between_two_strategies,TRNS:FUEL_SWITCH_MEDIUM_DUTY_REP,ENTC:RENEWABLE_ELEC_TARGET,vehicle_distance_traveled_trns_*_electricity,0.02,$/vkm,0.9,savings_maintenance_electrify_HDV,EV Maintenance,0,$0.02/km,"Burke et al. (2022) provide marginal capital and maintenance costs of a variety of medium and heavy duty BEVs versus ICEs (Table 19a, p. 50), and the cost of charging infrastructure (p.22). Using a stated 12-year lifetime, we calculate a simple average of these costs across all vehicle types. Costs are then adjusted to 2019 costs for LAC.",
TRNS:FUEL_SWITCH_MEDIUM_DUTY_REP,TRNS: Fuel switch medium duty road transport with renewable energy production,0,cb_difference_between_two_strategies,TRNS:FUEL_SWITCH_MEDIUM_DUTY_REP,ENTC:RENEWABLE_ELEC_TARGET,energy_consumption_trns_*_electricity,-3177614,$/PJ,1,technical_cost_electrification_HDV_charger,EV Charger Cost,0,$0.011/kwh,"Burke et al. (2022) provide marginal capital and maintenance costs of a variety of medium and heavy duty BEVs versus ICEs (Table 19a, p. 50), and the cost of charging infrastructure (p.22). Using a stated 12-year lifetime, we calculate a simple average of these costs across all vehicle types. Costs are then adjusted to 2019 costs for LAC.",
TRNS:INC_OCCUPANCY,TRNS: Increase occupancy for private vehicles,0,cb_difference_between_two_strategies,TRNS:INC_OCCUPANCY,BASE,,,,,,,,,There are no technical costs associated with increasing private vehicle occupancy.,
TRNS:INC_OCCUPANCY_REP,TRNS: Increase occupancy for private vehicles with renewable energy production,0,cb_difference_between_two_strategies,TRNS:INC_OCCUPANCY_REP,ENTC:RENEWABLE_ELEC_TARGET,,,,,,,,,There are no technical costs associated with increasing private vehicle occupancy.,
TRNS:INC_EFFICIENCY_ELEC,TRNS: Increase transportation electricity energy efficiency,1,cb_difference_between_two_strategies,TRNS:INC_EFFICIENCY_ELEC,BASE,energy_consumption_trns_total,-880000,$/PJ,1,technical_cost_energy_efficiency_electricity,Cost of increasing energy efficiency (electricity),0,$0.88M/PJ,"The National Research Council (2015) estimates the technical cost and percent fuel economy improvements for light duty vehicles from a wide range of vehicle technologies, including power train, accessories, and vehicle mass. We estimate the average cost per improvement across all technologies and calculate a per-km cost assuming a 12-year vehicle lifetime and 15,000 km/year use. Assuming a fuel economy of 12km/l, we calculate a cost per unit of energy saved and, in the absence of other data, apply this to other modes and fuel types.",
TRNS:INC_EFFICIENCY_ELEC_REP,TRNS: Increase transportation electricity energy efficiency with renewable energy production,0,cb_difference_between_two_strategies,TRNS:INC_EFFICIENCY_ELEC_REP,ENTC:RENEWABLE_ELEC_TARGET,energy_consumption_trns_total,-880000,$/PJ,1,technical_cost_energy_efficiency_electricity,Cost of increasing energy efficiency (electricity),0,$0.88M/PJ,"The National Research Council (2015) estimates the technical cost and percent fuel economy improvements for light duty vehicles from a wide range of vehicle technologies, including power train, accessories, and vehicle mass. We estimate the average cost per improvement across all technologies and calculate a per-km cost assuming a 12-year vehicle lifetime and 15,000 km/year use. Assuming a fuel economy of 12km/l, we calculate a cost per unit of energy saved and, in the absence of other data, apply this to other modes and fuel types.",
TRNS:INC_EFFICIENCY_NON_ELEC,TRNS: Increase transportation non-electricity energy efficiency,1,cb_difference_between_two_strategies,TRNS:INC_EFFICIENCY_NON_ELEC,BASE,energy_consumption_trns_total,-880000,$/PJ,1,technical_cost_energy_efficiency_non_electricity,Cost of increasing energy efficiency (non-electricity),0,$0.88M/PJ,"The National Research Council (2015) estimates the technical cost and percent fuel economy improvements for light duty vehicles from a wide range of vehicle technologies, including power train, accessories, and vehicle mass. We estimate the average cost per improvement across all technologies and calculate a per-km cost assuming a 12-year vehicle lifetime and 15,000 km/year use. Assuming a fuel economy of 12km/l, we calculate a cost per unit of energy saved and, in the absence of other data, apply this to other modes and fuel types.",
TRNS:INC_EFFICIENCY_NON_ELEC_REP,TRNS: Increase transportation non-electricity energy efficiency with renewable energy production,0,cb_difference_between_two_strategies,TRNS:INC_EFFICIENCY_NON_ELEC_REP,ENTC:RENEWABLE_ELEC_TARGET,energy_consumption_trns_total,-880000,$/PJ,1,technical_cost_energy_efficiency_non_electricity,Cost of increasing energy efficiency (non-electricity),0,$0.88M/PJ,"The National Research Council (2015) estimates the technical cost and percent fuel economy improvements for light duty vehicles from a wide range of vehicle technologies, including power train, accessories, and vehicle mass. We estimate the average cost per improvement across all technologies and calculate a per-km cost assuming a 12-year vehicle lifetime and 15,000 km/year use. Assuming a fuel economy of 12km/l, we calculate a cost per unit of energy saved and, in the absence of other data, apply this to other modes and fuel types.",
TRNS:MODE_SHIFT_FREIGHT,TRNS: Mode shift freight,0,cb_difference_between_two_strategies,TRNS:MODE_SHIFT_FREIGHT,BASE,,,,,,,,,The cost of this transformation is calculated as the system cost of providing transport,
TRNS:MODE_SHIFT_FREIGHT_REP,TRNS: Mode shift freight with renewable energy production,0,cb_difference_between_two_strategies,TRNS:MODE_SHIFT_FREIGHT_REP,ENTC:RENEWABLE_ELEC_TARGET,,,,,,,,,The cost of this transformation is calculated as the system cost of providing transport,
TRNS:MODE_SHIFT_PASSENGER,TRNS: Mode shift passenger vehicles to others,0,cb_difference_between_two_strategies,TRNS:MODE_SHIFT_PASSENGER,BASE,,,,,,,,,The cost of this transformation is calculated as the system cost of providing transport,
TRNS:MODE_SHIFT_PASSENGER_REP,TRNS: Mode shift passenger vehicles to others with renewable energy production,0,cb_difference_between_two_strategies,TRNS:MODE_SHIFT_PASSENGER_REP,ENTC:RENEWABLE_ELEC_TARGET,,,,,,,,,The cost of this transformation is calculated as the system cost of providing transport,
TRNS:MODE_SHIFT_REGIONAL,TRNS: Mode shift regional passenger travel,0,cb_difference_between_two_strategies,TRNS:MODE_SHIFT_REGIONAL,BASE,,,,,,,,,The cost of this transformation is calculated as the system cost of providing transport,
TRNS:MODE_SHIFT_REGIONAL_REP,TRNS: Mode shift regional passenger travel with renewable energy production,0,cb_difference_between_two_strategies,TRNS:MODE_SHIFT_REGIONAL_REP,ENTC:RENEWABLE_ELEC_TARGET,,,,,,,,,The cost of this transformation is calculated as the system cost of providing transport,
TRNS:DEC_DEMAND,TRNS: Reduce demand for transport,0,cb_economic_effect_of_reduced_transport_demand,TRNS:DEC_DEMAND,BASE,dem_trde_private_and_public_passenger_km,-0.07,% of GDP,,economic_cost_transport_demand_reduction,Economic cost of reducing transport demand,,,"The economic cost of reducing the demand for transport depends greatly on the underlying reasons for this reduction (Ecola and Wachs, 2012) and the extent to which transport growth is decoupled from economic growth. In LAC, transport is responsible on average for 7% of GDP (Timmer et al., 2015). More efficient travel, better urban planning, or changes in consumer preferences, may result in reduced travel with no cost to economic development. On the other hand, particularly if such change is forced by circumstance (e.g., pandemic) it may be very costly. We treat this cost as deeply uncertain.",
TRNS:DEC_DEMAND_REP,TRNS: Reduce demand for transport with renewable energy production,0,cb_economic_effect_of_reduced_transport_demand,TRNS:DEC_DEMAND_REP,ENTC:RENEWABLE_ELEC_TARGET,dem_trde_private_and_public_passenger_km,-0.07,% of GDP,,economic_cost_transport_demand_reduction,Economic cost of reducing transport demand,,,"The economic cost of reducing the demand for transport depends greatly on the underlying reasons for this reduction (Ecola and Wachs, 2012) and the extent to which transport growth is decoupled from economic growth. In LAC, transport is responsible on average for 7% of GDP (Timmer et al., 2015). More efficient travel, better urban planning, or changes in consumer preferences, may result in reduced travel with no cost to economic development. On the other hand, particularly if such change is forced by circumstance (e.g., pandemic) it may be very costly. We treat this cost as deeply uncertain.",
SCOE:INC_EFFICIENCY_APPLIANCE_REP,SCOE: Increase appliance efficiency with renewable energy production,0,cb_difference_between_two_strategies,SCOE:INC_EFFICIENCY_APPLIANCE_REP,ENTC:RENEWABLE_ELEC_TARGET,energy_consumption_scoe_total,-5560000,$/PJ,1,technical_cost,Cost of building appliance efficiency,0,$0.02/kwh,"Perry et al. (2019, p. 17) estimate the costs in 2018 dollars of reducing building energy demands through a variety of energy efficiency measures in the US (for the purposes of comparing them to the costs of installing solar PV). We adjust the average cost effectiveness of $0.04/kWh saed for LAC.",
SCOE:INC_EFFICIENCY_APPLIANCE,SCOE: Increase appliance efficiency,1,cb_difference_between_two_strategies,SCOE:INC_EFFICIENCY_APPLIANCE,BASE,energy_consumption_scoe_total,-5560000,$/PJ,1,technical_cost,Cost of building appliance efficiency,0,$0.02/kwh,"Perry et al. (2019, p. 17) estimate the costs in 2018 dollars of reducing building energy demands through a variety of energy efficiency measures in the US (for the purposes of comparing them to the costs of installing solar PV). We adjust the average cost effectiveness of $0.04/kWh saed for LAC.",
SCOE:FUEL_SWITCH_HEAT_REP,"SCOE: Switch to electricity for heat using heat pumps, electric stoves, etc. with renewable energy production",0,cb_difference_between_two_strategies,SCOE:FUEL_SWITCH_HEAT_REP,ENTC:RENEWABLE_ELEC_TARGET,energy_consumption_scoe_total,-463333.3333,$/PJ,0.8871931,technical_cost,Cost of building heat pumps,0,$5/MWh thermal demand,"We use the same cost data as for low-temperature heat pumps use in industrial energy. Rissman (2022) estimates that heat pumps have a levelized capital cost of $8/MW of thermal heat demand compared to other technologies but that this cost premium is rapidly shrinking, and a $1.50 savings in non-fuel opex, in the US in 2022 dollars. (No discount rate is documented in this report and we use levelized costs as presented).",
SCOE:FUEL_SWITCH_HEAT_REP,"SCOE: Switch to electricity for heat using heat pumps, electric stoves, etc. with renewable energy production",0,cb_difference_between_two_strategies,SCOE:FUEL_SWITCH_HEAT_REP,ENTC:RENEWABLE_ELEC_TARGET,energy_consumption_scoe_total,-83400,$/PJ,1,technical_savings,Maintenance savings of building heat pumps,0,$0.90/MWh thermal demand,"We use the same cost data as for low-temperature heat pumps use in industrial energy. Rissman (2022) estimates that heat pumps have a levelized capital cost of $8/MW of thermal heat demand compared to other technologies but that this cost premium is rapidly shrinking, and a $1.50 savings in non-fuel opex, in the US in 2022 dollars. (No discount rate is documented in this report and we use levelized costs as presented).",
SCOE:FUEL_SWITCH_HEAT,"SCOE: Switch to electricity for heat using heat pumps, electric stoves, etc.",1,cb_difference_between_two_strategies,SCOE:FUEL_SWITCH_HEAT,BASE,energy_consumption_scoe_total,-463333.3333,$/PJ,0.8871931,technical_cost,Cost of building heat pumps,0,$5/MWh thermal demand,"We use the same cost data as for low-temperature heat pumps use in industrial energy. Rissman (2022) estimates that heat pumps have a levelized capital cost of $8/MW of thermal heat demand compared to other technologies but that this cost premium is rapidly shrinking, and a $1.50 savings in non-fuel opex, in the US in 2022 dollars. (No discount rate is documented in this report and we use levelized costs as presented).",
SCOE:FUEL_SWITCH_HEAT,"SCOE: Switch to electricity for heat using heat pumps, electric stoves, etc.",1,cb_difference_between_two_strategies,SCOE:FUEL_SWITCH_HEAT,BASE,energy_consumption_scoe_total,-83400,$/PJ,1,technical_savings,Maintenance savings of building heat pumps,0,$0.90/MWh thermal demand,"We use the same cost data as for low-temperature heat pumps use in industrial energy. Rissman (2022) estimates that heat pumps have a levelized capital cost of $8/MW of thermal heat demand compared to other technologies but that this cost premium is rapidly shrinking, and a $1.50 savings in non-fuel opex, in the US in 2022 dollars. (No discount rate is documented in this report and we use levelized costs as presented).",
